Team,R-OBP,R-1B,R-2B,R-3B,R-HR,R-BB,L-OBP,L-1B,L-2B,L-3B,L-HR,L-BB
Angels,1.05,1.02,0.81,0.96,1.19,1.17,0.9,0.87,0.76,1.66,1.02,0.93
Astros,0.99,1.02,0.9,0.74,0.95,1,1.03,0.98,1.12,1.42,0.68,1.2
Athletics,0.99,0.97,1.11,1.06,0.84,0.99,0.96,0.86,0.78,1.23,0.95,1.22
Blue Jays,1.01,0.99,1.05,0,0.95,1,0.99,0.86,1.07,0.89,0.95,1.1
Braves,1.04,1.02,1.12,0.78,1.14,1.09,0.97,1.01,0.9,1.04,1.25,0.82
Brewers,0.97,0.98,0.98,0.9,1.08,0.98,0.98,0.88,0.85,0.92,1.13,1.14
Cardinals,1.05,1.09,1.05,1.32,0.9,1.04,1.08,1.15,1.03,0.84,1.23,0.99
Cubs,1.01,1.11,0.81,1.03,1.04,0.98,0.97,1.03,0.81,1.67,1.07,0.97
Diamondbacks,0.98,0.99,1.15,1.44,0.85,1,1.01,1.03,0.98,2.92,0.95,1.02
Dodgers,0.97,0.87,0.95,0.71,1.33,1.03,0.99,0.97,0.98,0.37,1.28,0.9
Giants,0.97,1.08,0.87,1.04,0.96,0.85,0.98,1.11,0.92,1.14,0.91,0.9
Guardians,0.96,0.93,1.29,1.47,0.51,1.02,0.98,1.06,1.05,0.8,0.73,0.94
Mariners,0.93,0.83,1.04,0.32,0.9,1.06,0.98,0.99,0.95,1.11,1.06,0.95
Marlins,0.98,1.03,1.07,0.86,0.7,0.93,0.98,1.15,1.15,0.46,0.95,0.7
Mets,0.97,0.96,0.73,0.44,1.12,1.01,0.95,0.81,0.89,0.29,0.98,1.15
Nationals,1.02,1.1,1.1,0.95,0.85,0.93,1.01,1.15,0.82,0.7,0.95,0.9
Orioles,0.98,1.09,0.99,1.21,0.7,0.94,1,1.11,0.8,1.21,1.22,0.89
Padres,1,1.01,0.94,0.51,0.92,1.06,0.94,0.86,1.06,0.14,0.7,1.09
Phillies,0.92,0.89,0.95,0.43,0.91,0.95,1.05,0.98,0.94,1.8,1.02,1.18
Pirates,1.02,1.08,1.08,0.89,0.69,0.98,1.01,0.99,0.96,0.65,0.87,1.09
Rangers,1,0.96,0.95,1.18,1.35,0.99,1.03,1.04,1.16,0.1,1.36,0.97
Rays,0.98,0.91,0.96,1.36,1.2,1.02,0.93,0.91,1.11,0.65,1,0.84
Red Sox,1.02,1.04,1.08,0.9,0.88,0.99,1.18,1.12,1.69,1.45,0.81,1.07
Reds,1.04,0.99,0.92,0.62,1.26,1.11,0.96,0.89,0.9,1.48,1.38,0.93
Rockies,1.1,1.12,1.25,2.89,1.06,0.89,1.09,1.12,1.32,2.02,0.97,0.97
Royals,1.03,1.05,1,2.02,1.03,1,1.07,0.96,1.13,0.91,0.77,1.25
Tigers,1,0.99,1,0.5,0.91,1.11,0.97,1.1,0.77,1.76,0.86,0.97
Twins,0.99,0.96,1.12,1.83,1.07,0.93,0.99,0.93,1.18,0.91,0.97,1.01
White Sox,0.98,0.98,0.95,1.12,1.25,0.83,0.99,1.05,0.88,0.33,0.83,1.08
Yankees,0.97,0.94,0.77,0.64,1.23,1.07,0.95,0.94,0.96,0.3,1.19,0.87
